open,high,low,close,volume
1237.5,1237.85,1234.55,1236.6,907847.0
1238.7,1251.5,1238.7,1248.35,2033098.0
1248.4,1252.8,1246.0,1248.35,1033475.0
1248.15,1249.05,1243.45,1245.05,777184.0
1245.05,1249.15,1241.85,1244.85,735912.0
1244.9,1246.1,1233.6,1235.5,1297019.0
1235.65,1239.65,1223.8,1233.1,2013944.0
1233.1,1237.8,1233.1,1237.05,696091.0
1238.75,1243.7,1226.05,1235.6,1934766.0
1235.65,1240.15,1231.55,1236.1,874150.0
1235.85,1236.4,1224.5,1227.35,1386552.0
1227.35,1228.25,1214.8,1221.9,1408176.0
1221.85,1223.15,1210.9,1215.8,1167963.0
1215.8,1219.95,1213.85,1218.05,1231789.0
1218.0,1220.85,1216.15,1218.95,631826.0
1219.45,1219.45,1203.6,1205.45,1923258.0
1206.25,1209.55,1201.65,1205.55,1421853.0
1205.25,1205.55,1200.0,1201.0,1025358.0
1201.0,1202.3,1192.4,1193.15,1523503.0
1192.7,1198.2,1190.05,1194.65,1294804.0
1194.5,1200.2,1192.9,1197.0,1486613.0
1196.9,1204.1,1195.7,1202.2,726422.0
1203.6,1213.5,1199.65,1205.25,1902419.0
1205.4,1205.5,1193.7,1196.9,1043380.0
1196.95,1202.45,1192.7,1194.65,993296.0
1194.7,1202.5,1193.45,1199.25,819883.0
1199.25,1199.6,1193.8,1195.3,748439.0
1195.2,1200.6,1180.05,1184.75,1726506.0
1185.0,1187.25,1181.9,1183.8,670343.0
1190.7,1203.6,1190.7,1201.6,1414234.0
1201.65,1212.75,1200.65,1211.05,1396094.0
1211.05,1211.5,1205.95,1210.2,892039.0
1210.2,1210.9,1205.55,1208.85,712257.0
1208.85,1213.5,1200.6,1202.35,1862052.0
1202.4,1217.9,1202.1,1214.9,2597438.0
1214.85,1218.05,1213.5,1214.5,1383674.0
1222.4,1231.95,1219.65,1227.15,1874665.0
1226.75,1227.85,1217.45,1219.45,1128677.0
1219.35,1228.35,1218.8,1223.0,853633.0
1223.45,1238.25,1221.8,1234.55,1903994.0
1234.75,1235.2,1215.55,1223.7,1049404.0
1223.8,1238.05,1220.95,1237.2,1748568.0
1237.25,1243.2,1237.05,1241.35,738528.0
1235.3,1252.95,1233.85,1247.85,2172723.0
1247.55,1250.1,1245.8,1247.45,691385.0
1247.45,1253.1,1246.2,1249.15,1655666.0
1249.05,1250.15,1245.75,1249.1,1590896.0
1249.1,1259.05,1247.3,1258.25,1363160.0
1258.5,1284.75,1256.1,1274.1,3501129.0
1274.4,1281.35,1274.05,1277.4,1176604.0
1279.85,1287.25,1267.8,1276.2,2714381.0
1276.25,1279.75,1270.45,1272.75,835912.0
1272.55,1282.7,1271.95,1279.45,1029086.0
1279.75,1280.3,1274.45,1277.15,713595.0
1277.15,1292.0,1276.15,1285.15,1959263.0
1285.15,1290.05,1276.9,1280.6,1563975.0
1280.55,1280.6,1274.9,1275.45,618500.0
1284.1,1299.6,1283.8,1289.75,2319415.0
1289.7,1295.75,1287.8,1293.65,944206.0
1293.6,1302.2,1290.35,1298.7,1606975.0
1298.65,1301.65,1296.2,1300.2,855209.0
1300.25,1301.65,1297.8,1300.85,778184.0
1301.1,1305.25,1295.9,1297.15,2006647.0
1297.2,1299.65,1295.9,1298.25,973657.0
1297.95,1308.8,1294.3,1300.9,2452353.0
1300.9,1302.65,1288.15,1290.5,1150958.0
1290.5,1293.4,1284.0,1287.75,1398268.0
1287.75,1287.8,1275.1,1282.6,1492891.0
1282.75,1290.9,1278.45,1285.7,1236914.0
1285.8,1286.8,1278.5,1278.9,968287.0
1279.0,1279.15,1274.1,1275.9,587116.0
1272.75,1287.95,1272.75,1276.65,1640561.0
1276.65,1277.85,1266.25,1268.85,983019.0
1268.8,1274.9,1265.25,1271.15,600295.0
1271.15,1272.95,1260.4,1260.85,918117.0
1260.85,1275.4,1260.65,1267.7,996662.0
1267.7,1272.15,1264.0,1265.1,944612.0
1265.3,1267.0,1262.55,1265.8,470925.0
1263.9,1263.9,1248.75,1251.55,1386136.0
1251.55,1256.3,1248.4,1256.1,954187.0
1256.1,1256.1,1244.75,1245.7,972050.0
1245.7,1251.1,1243.2,1246.25,752353.0
1246.3,1246.6,1239.25,1245.3,955227.0
1245.55,1248.25,1239.55,1242.15,1686230.0
1241.8,1243.9,1239.8,1242.7,864244.0
1239.75,1260.3,1239.75,1251.2,1767423.0
1251.15,1257.8,1250.7,1254.8,573701.0
1254.8,1255.85,1245.65,1245.65,772553.0
1245.5,1250.15,1245.2,1248.0,757013.0
1248.05,1251.45,1246.75,1248.7,625105.0
1248.95,1254.9,1243.2,1245.5,1360730.0
1245.55,1246.85,1242.35,1243.3,585474.0
1249.15,1254.3,1244.2,1247.65,1233351.0
1247.2,1262.0,1246.2,1256.35,1499250.0
1256.35,1257.35,1245.35,1246.35,1344757.0
1246.65,1250.35,1245.55,1247.35,453781.0
1247.35,1249.65,1240.75,1245.4,757047.0
1245.5,1246.2,1234.3,1234.5,1181533.0
1234.4,1234.8,1224.15,1226.65,539813.0
1229.35,1229.35,1206.55,1209.55,1967087.0
1209.55,1216.95,1209.05,1214.4,1001938.0
1214.35,1220.4,1213.55,1218.2,663244.0
1218.1,1220.95,1211.7,1214.85,645489.0
1214.85,1222.2,1212.55,1217.95,749036.0
1217.7,1219.45,1208.55,1210.7,1063840.0
1210.9,1218.2,1209.8,1217.55,580586.0
1218.2,1219.0,1202.75,1205.8,1714863.0
1205.9,1215.0,1205.25,1208.55,1257530.0
1208.55,1215.0,1206.55,1207.3,929789.0
1207.3,1217.15,1204.65,1213.5,969535.0
1213.5,1221.8,1211.0,1217.95,1340347.0
1217.95,1233.3,1216.8,1231.65,2678310.0
1232.15,1238.15,1231.25,1237.25,782532.0
1238.25,1239.8,1209.15,1213.85,2513189.0
1213.85,1218.95,1209.8,1210.7,1548597.0
1210.85,1214.85,1208.55,1210.05,1143882.0
1209.7,1213.5,1206.85,1211.5,763501.0
1211.5,1217.45,1211.1,1216.45,1474683.0
1216.4,1220.9,1208.0,1211.4,1640555.0
1211.4,1211.5,1203.6,1204.25,641374.0
1206.55,1224.25,1206.55,1220.75,1878757.0
1220.45,1223.2,1216.45,1219.05,715067.0
1219.05,1220.95,1216.7,1219.2,390114.0
1219.4,1228.05,1216.95,1225.7,895930.0
1225.7,1226.35,1218.6,1219.85,528004.0
1220.25,1224.15,1203.6,1205.25,1411150.0
1205.55,1205.55,1200.0,1204.2,460143.0
1212.35,1221.4,1211.5,1219.05,1273600.0
1219.4,1221.9,1212.5,1213.45,934403.0
1213.45,1213.5,1209.75,1211.7,737310.0
1211.7,1216.35,1210.55,1213.95,670736.0
1213.95,1218.35,1208.55,1208.7,789447.0
1208.75,1226.35,1207.55,1222.85,1484909.0
1222.85,1228.35,1222.5,1223.95,453389.0
1224.4,1227.9,1217.95,1224.0,1129647.0
1224.35,1238.15,1221.45,1237.95,1984024.0
1237.95,1245.95,1237.05,1238.95,1720329.0
1239.05,1241.75,1236.9,1238.25,1305964.0
1238.25,1239.25,1234.9,1236.3,1252970.0
1236.15,1238.05,1229.45,1235.2,2231549.0
1235.25,1238.25,1234.8,1236.2,1040385.0
1232.9,1233.2,1221.4,1231.35,2069370.0
1231.6,1233.3,1223.15,1224.25,1060873.0
1224.2,1224.35,1216.5,1217.35,1219565.0
1217.3,1219.45,1214.5,1216.2,988814.0
1216.15,1220.45,1215.5,1219.95,870837.0
1220.05,1224.8,1219.2,1219.9,1865723.0
1219.95,1222.55,1217.7,1220.15,745186.0
1224.4,1231.35,1219.45,1225.2,1973830.0
1225.35,1226.55,1223.4,1224.8,773956.0
1224.8,1225.25,1218.65,1221.4,837464.0
1221.35,1221.4,1211.15,1213.8,1225135.0
1213.75,1217.4,1212.7,1215.5,817315.0
1215.5,1222.8,1214.75,1222.3,1626900.0
1222.15,1222.4,1218.25,1219.75,657335.0
1198.15,1215.05,1194.7,1205.0,2212802.0
1204.9,1212.45,1202.7,1211.9,2270001.0
1212.3,1218.35,1211.1,1213.5,1499091.0
1213.5,1217.85,1210.1,1214.2,878620.0
1213.75,1215.95,1209.85,1215.75,770748.0
1215.75,1222.9,1206.95,1208.55,2006235.0
1208.25,1209.95,1205.55,1208.75,539115.0
1216.5,1226.7,1215.95,1223.75,1564360.0
1223.75,1233.2,1222.4,1230.95,1545349.0
1230.95,1231.05,1197.7,1199.65,2901556.0
1199.65,1213.45,1198.25,1210.55,1593485.0
1210.55,1216.45,1206.9,1213.3,1516363.0
1213.3,1214.5,1205.25,1212.5,1566731.0
1212.1,1213.5,1208.6,1209.2,514939.0
1222.15,1227.45,1215.3,1223.6,1794669.0
1223.5,1228.2,1221.0,1223.2,1038197.0
1223.2,1223.4,1219.45,1221.35,844204.0
1221.35,1223.35,1219.45,1221.4,882798.0
1221.4,1228.2,1220.95,1227.3,1024636.0
1227.3,1227.3,1217.5,1218.9,3482221.0
1219.15,1220.85,1217.45,1220.45,2294401.0
1225.4,1230.7,1221.2,1222.9,1445141.0
1223.0,1224.5,1215.75,1218.0,1212892.0
1218.0,1219.25,1214.75,1216.05,950033.0
1216.05,1216.35,1211.5,1214.4,901296.0
1214.4,1216.45,1210.75,1213.15,924281.0
1213.2,1217.95,1212.2,1214.5,1587268.0
1214.5,1215.1,1211.6,1213.25,970128.0
1211.9,1217.6,1207.2,1212.0,1730928.0
1212.25,1216.9,1211.9,1213.55,966328.0
1213.5,1215.7,1212.0,1213.7,519660.0
1213.55,1216.4,1212.05,1214.5,633324.0
1214.5,1223.2,1213.1,1219.5,1306887.0
1219.7,1228.15,1219.45,1225.25,1457523.0
1225.45,1228.05,1224.4,1225.85,546120.0
1228.15,1237.25,1223.5,1235.45,2008156.0
1235.45,1239.1,1230.65,1238.15,1611336.0
1238.15,1244.6,1237.2,1243.55,1402334.0
1243.2,1261.05,1243.2,1260.7,2710555.0
1260.6,1261.0,1249.65,1253.0,1807530.0
1253.0,1256.1,1250.4,1254.75,1846606.0
1254.4,1255.05,1249.8,1250.15,755478.0
1252.15,1266.9,1247.2,1264.2,2246177.0
1264.2,1267.8,1259.2,1260.35,1104199.0
1260.35,1263.65,1252.55,1255.8,1330103.0
1255.85,1257.85,1251.65,1255.9,754776.0
1256.0,1262.55,1253.4,1258.35,1012565.0
1258.4,1261.6,1255.7,1257.9,1164704.0
1258.0,1259.95,1256.2,1258.05,559801.0
1254.15,1262.5,1250.15,1255.1,1452642.0
1255.05,1259.35,1251.85,1256.25,855028.0
1256.2,1258.05,1254.3,1256.75,717160.0
1256.8,1257.35,1251.2,1254.55,726640.0
1254.65,1257.8,1252.5,1255.45,711766.0
1255.65,1257.0,1252.2,1254.85,1126205.0
1255.05,1256.1,1254.15,1255.0,497146.0
1258.1,1275.2,1256.1,1272.35,2207679.0
1272.45,1278.75,1272.45,1275.75,1080655.0
1275.75,1276.8,1272.6,1274.1,842821.0
1274.15,1280.25,1273.7,1279.6,932601.0
1279.65,1282.85,1275.3,1276.4,1166428.0
1276.5,1290.85,1276.0,1290.75,2181229.0
1290.8,1299.7,1290.25,1297.25,1370763.0
1304.55,1314.0,1302.7,1309.15,3345574.0
1309.35,1317.5,1306.6,1315.55,1817725.0
1315.4,1316.9,1306.35,1310.95,1457984.0
1310.75,1312.0,1305.3,1311.6,867222.0
1311.55,1314.4,1307.6,1313.75,981860.0
1313.55,1321.45,1311.95,1319.45,2145493.0
1319.0,1319.5,1316.95,1318.35,687514.0
1324.45,1345.25,1315.65,1317.45,3961282.0
1316.75,1324.35,1316.2,1323.1,1813281.0
1323.1,1323.3,1318.85,1320.4,706237.0
1320.4,1327.4,1319.1,1325.45,824997.0
1325.35,1335.25,1324.95,1330.4,1529211.0
1330.35,1334.3,1327.4,1333.6,1477938.0
1333.6,1337.3,1333.0,1336.35,992225.0
1337.1,1349.2,1332.7,1341.3,3691010.0
1341.1,1347.65,1340.8,1344.2,1145235.0
1344.15,1345.65,1341.3,1341.55,1265504.0
1341.55,1342.9,1337.6,1338.95,989908.0
1339.25,1341.65,1337.55,1338.8,872406.0
1338.8,1343.1,1328.65,1328.9,1748130.0
1329.3,1330.25,1323.6,1327.4,752277.0
1332.35,1346.0,1331.55,1342.45,2654705.0
1342.75,1343.25,1337.8,1339.6,702885.0
1339.7,1339.75,1335.45,1337.3,667985.0
1337.3,1339.75,1336.05,1337.6,423314.0
1337.6,1338.3,1332.6,1334.9,1022948.0
1334.2,1337.3,1299.3,1303.2,6832113.0
1303.15,1312.55,1300.9,1311.3,3715408.0
1318.5,1336.25,1317.0,1333.4,3311211.0
